userID,designId,pair_index,areas,walls
64077ef5d093b5d8bc86985c,66bfa4a603ae5dab64c238c0,0,,
64077ef5d093b5d8bc86985c,66bfa4a603ae5dab64c238c0,0,,
64077ef5d093b5d8bc86985c,66bfa4a603ae5dab64c238c0,1,,
6420426a7b4bbadd0c4a67d0,66ad09bfc76599f8d6d40177,0,,
6420426a7b4bbadd0c4a67d0,66ad09bfc76599f8d6d40177,0,,
6420426a7b4bbadd0c4a67d0,66ad09bfc76599f8d6d40177,1,,
6429b31bf7248b36efc64186,66b8a06f4b0280f3648770f3,0,,
6429b31bf7248b36efc64186,66b8a06f4b0280f3648770f3,1,,
643e97b59db52b7ca94bd2cc,66a9823284db96a576a29195,0,,
643e97b59db52b7ca94bd2cc,66a9823284db96a576a29195,0,,
643e97b59db52b7ca94bd2cc,66a9823284db96a576a29195,1,,
645d9300f943506a1b84e553,6690264ef5fa74b5f33892f3,0,,
645d9300f943506a1b84e553,6690264ef5fa74b5f33892f3,1,,
645d9300f943506a1b84e553,669eb3b35e027a577b0b3bac,0,,
645d9300f943506a1b84e553,669eb3b35e027a577b0b3bac,0,,
645d9300f943506a1b84e553,669eb3b35e027a577b0b3bac,1,,
645e2a67d62d1b49b4813c11,6675a0cd2e391ac55ea0ccce,0,,
645e2a67d62d1b49b4813c11,6675a0cd2e391ac55ea0ccce,0,,
645e2a67d62d1b49b4813c11,6675a0cd2e391ac55ea0ccce,1,,
645e2a67d62d1b49b4813c11,669800b29f5c83fe7c0a8b7f,0,,
645e2a67d62d1b49b4813c11,669800b29f5c83fe7c0a8b7f,0,,
645e2a67d62d1b49b4813c11,669800b29f5c83fe7c0a8b7f,1,,
645e2a67d62d1b49b4813c11,669ac3b6dc49b4462c6783e3,0,,
645e2a67d62d1b49b4813c11,669ac3b6dc49b4462c6783e3,0,,
645e2a67d62d1b49b4813c11,669ac3b6dc49b4462c6783e3,1,,
645e57f8506dffe2c88ddb7f,66843c97b722488c3178268e,0,,
645e57f8506dffe2c88ddb7f,66843c97b722488c3178268e,0,,
645e57f8506dffe2c88ddb7f,66843c97b722488c3178268e,1,,
6464c8f6b3a68ba8acc68942,669800e7252842f3552b1e6a,0,,
6464c8f6b3a68ba8acc68942,669800e7252842f3552b1e6a,0,,
6464c8f6b3a68ba8acc68942,669800e7252842f3552b1e6a,1,,
64776f4450eff032163e4b80,66a5c4c1ba829e1a7e122512,0,,
64776f4450eff032163e4b80,66a5c4c1ba829e1a7e122512,1,,
6479a36ef2ea2558268feb92,669af25b18ee07772e831cc4,0,,
6479a36ef2ea2558268feb92,669af25b18ee07772e831cc4,0,,
6479a36ef2ea2558268feb92,669af25b18ee07772e831cc4,1,,
6479a36ef2ea2558268feb92,669af45818ee07772e831ccd,0,,
6479a36ef2ea2558268feb92,669af45818ee07772e831ccd,1,,
6485372bbc5d4b345f31d258,66c8ee926e5a5e8363a54a9c,0,,
6485372bbc5d4b345f31d258,66c8ee926e5a5e8363a54a9c,1,,
648b10a2d89a08f16dafb112,66ae5ac41d87ac80be305247,0,,
648b10a2d89a08f16dafb112,66ae5ac41d87ac80be305247,0,,
648b10a2d89a08f16dafb112,66ae5ac41d87ac80be305247,1,,
